sentiment,review_text,review_text_original,review_text_encoding_fixed,review_text_cleaned,encoding_changed,contraction_changed,non_english_words
Negative,even if it wasnât recognised by management,even if it wasnât recognised by management.,even if it wasn't recognised by management.,even if it was not recognised by management.,True,True,[]
Negative,best colleagues but bad upper management,best colleagues but bad upper management,best colleagues but bad upper management,best colleagues but bad upper management,False,False,[]
Negative,but compared to other commercial bank bankname is like medium,"but compared to other commercial bank, rhb is like medium.","but compared to other commercial bank, rhb is like medium.","but compared to other commercial bank, rhb is like medium.",False,False,[]
Positive,salary at average quite many campaigns for staff to earn commission,salary at average & quite many campaigns for staff to earn commision,salary at average & quite many campaigns for staff to earn commision,salary at average & quite many campaigns for staff to earn commision,False,False,[]
Positive,day office days work from home,"3day office, 2 days wfh.","3day office, 2 days wfh.","3day office, 2 days wfh.",False,False,[]
Negative,basically speaking no one goes back on time sharp pm,basically speaking no one goes back on time sharp 05:45pm.,basically speaking no one goes back on time sharp 05:45pm.,basically speaking no one goes back on time sharp 05:45pm.,False,False,[]
Negative,but in terms of workloads there werenât much that interns are allowed to do as it is customerâs privacy matters, but in terms of workloads there werenât much that interns are allowed to do as it is customerâs privacy matters., but in terms of workloads there weren't much that interns are allowed to do as it is customer's privacy matters., but in terms of workloads there were not much that interns are allowed to do as it is customer's privacy matters.,True,True,[]
Negative,too many to list down,too many to list down.,too many to list down.,too many to list down.,False,False,[]
Negative,multiple reporting layers,multiple reporting layers.,multiple reporting layers.,multiple reporting layers.,False,False,[]
Negative,usually will stay until pm to do cold calling,usually will stay until 7pm ++ to do cold calling,usually will stay until 7pm ++ to do cold calling,usually will stay until 7pm ++ to do cold calling,False,False,[]
Positive,no toxic and even though you were overwhelmed with heavy workloads but its okay,"no toxic and eventho you were overwhelmed with heavy workloads, but its okay.","no toxic and eventho you were overwhelmed with heavy workloads, but its okay.","no toxic and eventho you were overwhelmed with heavy workloads, but its okay.",False,False,[]
Negative,many approval structure compliances and hierarchy to meet,"many approval structure , compliances and hierarch to meet.","many approval structure , compliances and hierarch to meet.","many approval structure , compliances and hierarch to meet.",False,False,[]
Negative,last time staff needed to perform for annual dinners if selected,last time staff needed to perform for annual dinners if selected.,last time staff needed to perform for annual dinners if selected.,last time staff needed to perform for annual dinners if selected.,False,False,[]
Positive,if your fresh graduate just try to gain experience,if ur fresh graduate just try to gain experience .,if ur fresh graduate just try to gain experience .,if you are fresh graduate just try to gain experience .,False,True,[]
Negative,not to say that all departments are like this but majority of leaders who has been with the bank more than years will have mentality like this,not to say that all departments are like this but majority of leaders who has been with the bank >10years will have mentality like this.,not to say that all departments are like this but majority of leaders who has been with the bank >10years will have mentality like this.,not to say that all departments are like this but majority of leaders who has been with the bank >10years will have mentality like this.,False,False,[]
Negative,old structure of company,old structure of company,old structure of company,old structure of company,False,False,[]
Negative,stressful but flexible schedule,stressful but flexible schedule,stressful but flexible schedule,stressful but flexible schedule,False,False,[]
Negative,minimal training and development programmes,minimal training and development programmes.,minimal training and development programmes.,minimal training and development programmes.,False,False,[]
Negative,incentives are small compared to other banks,incentives are small compared to other banks.,incentives are small compared to other banks.,incentives are small compared to other banks.,False,False,[]
Negative,would be nice to have help from top management for new staff,would be nice to have help from top management for new staff,would be nice to have help from top management for new staff,would be nice to have help from top management for new staff,False,False,[]
Negative,a lot of meetings,a lot of meetings.,a lot of meetings.,a lot of meetings.,False,False,[]
Negative,sometimes back to back meetings,sometimes back to back meetings.,sometimes back to back meetings.,sometimes back to back meetings.,False,False,[]
Positive,annual leave days,annual leave 24 days.,annual leave 24 days.,annual leave 24 days.,False,False,[]
Negative,low commission compare to other banks slow system for loan submission,low commission compare to other banks slow system for loan submission,low commission compare to other banks slow system for loan submission,low commission compare to other banks slow system for loan submission,False,False,[]
Negative,the system used by everyone is new and nowhere near perfect,the system used by everyone is new and nowhere near perfect.,the system used by everyone is new and nowhere near perfect.,the system used by everyone is new and nowhere near perfect.,False,False,[]
Negative,good pay and bonus yet there no work life balance,"good pay and bonus, yet there's no work life balance.","good pay and bonus, yet there's no work life balance.","good pay and bonus, yet there is no work life balance.",False,True,[]
Negative,there is stress in banking task but we as workers smart to handle it,there is stress in banking task but we as workers smart to handle it.,there is stress in banking task but we as workers smart to handle it.,there is stress in banking task but we as workers smart to handle it.,False,False,[]
Negative,bankname is actually quite a manual based company attendance have to sign on paper,cimb is actually quite a manual-based company (attendance have to sign on paper).,cimb is actually quite a manual-based company (attendance have to sign on paper).,cimb is actually quite a manual-based company (attendance have to sign on paper).,False,False,[]
Negative,daily task have to be completed on time,daily task have to be completed on time ,daily task have to be completed on time ,daily task have to be completed on time ,False,False,[]
Negative,when the volume work becomes high,when the volume work becomes high.,when the volume work becomes high.,when the volume work becomes high.,False,False,[]
Negative,each department only knows their own product instead of knowing all,each department only knows their own product instead of knowing all.,each department only knows their own product instead of knowing all.,each department only knows their own product instead of knowing all.,False,False,[]
Negative,you will notice to get different answers,you will notice to get different answers.,you will notice to get different answers.,you will notice to get different answers.,False,False,[]
Negative,must to find customer salary basic above to get better achievement but in placename and placename most workers basic,must to find customer salary basic above 3k to get better achievement but in kedah and penang most workers basic 1.5k ,must to find customer salary basic above 3k to get better achievement but in kedah and penang most workers basic 1.5k ,must to find customer salary basic above 3k to get better achievement but in kedah and penang most workers basic 1.5k ,False,False,[]
Negative,promotion will be mostly based on the service years rather than job performance,promotion will be mostly based on the service years rather than job performance.,promotion will be mostly based on the service years rather than job performance.,promotion will be mostly based on the service years rather than job performance.,False,False,[]
Negative,need to cover the task for the colleague that take leave,need to cover the task for the colleague that take leave.,need to cover the task for the colleague that take leave.,need to cover the task for the colleague that take leave.,False,False,[]
Negative,need to attend branch morning briefing every day,need to attend branch morning briefing every day,need to attend branch morning briefing every day,need to attend branch morning briefing every day,False,False,[]
Negative,you donât get commission for during cross selling,you donât get commission for during cross selling.,you don't get commission for during cross selling.,you do not get commission for during cross selling.,True,True,[]
Negative,unclear commission,unclear commission,unclear commission,unclear commission,False,False,[]
Negative,attractive benefits but limited growth,attractive benefits but limited growth,attractive benefits but limited growth,attractive benefits but limited growth,False,False,[]
Positive,pretty straightforward,pretty straightforward .,pretty straightforward .,pretty straightforward .,False,False,[]
Negative,i used to work at bankname as financial analyst working environment is fine but somehow i saw that everyone is trying really hard to appeal bosses which,"i used to work at cimb as financial analyst, working environment is fine but somehow i saw that everyone is trying really hard to appeal bosses which","i used to work at cimb as financial analyst, working environment is fine but somehow i saw that everyone is trying really hard to appeal bosses which","i used to work at cimb as financial analyst, working environment is fine but somehow i saw that everyone is trying really hard to appeal bosses which",False,False,[]
Negative,no overtime payment but expected to overtime every single day,no ot payment but expected to ot every single day,no ot payment but expected to ot every single day,no ot payment but expected to ot every single day,False,False,[]
Negative,the workload is quite heavy but by time you will get used to it,"the workload is quite heavy, but by time ull get used to it.","the workload is quite heavy, but by time ull get used to it.","the workload is quite heavy, but by time ull get used to it.",False,False,[]
Negative,need to work on sunday times per month so overall you just have days of offday per month,need to work on sunday 2 times per month so overall you just have 2 days of offday per month.,need to work on sunday 2 times per month so overall you just have 2 days of offday per month.,need to work on sunday 2 times per month so overall you just have 2 days of offday per month.,False,False,[]
Positive,while the job offered some valuable learning experiences,"while the job offered some valuable learning experiences, ","while the job offered some valuable learning experiences, ","while the job offered some valuable learning experiences, ",False,False,[]
Negative,its a way for them to hold their staff to not resign,its a way for them to hold their staff to not resign.,its a way for them to hold their staff to not resign.,its a way for them to hold their staff to not resign.,False,False,[]
Negative,all higher ups care is sales,all higher ups care is sales.,all higher ups care is sales.,all higher ups care is sales.,False,False,[]
Negative,unclear commission calculate,unclear commission calculate,unclear commission calculate,unclear commission calculate,False,False,[]
Negative,overall while the job can be challenging,"overall, while the job can be challenging,","overall, while the job can be challenging,","overall, while the job can be challenging,",False,False,[]
Negative,the name is not top,the name is not top.,the name is not top.,the name is not top.,False,False,[]
Negative,but working in sales department you must achieved target to get commission,"but working in sales department , you must achieved target to get commission","but working in sales department , you must achieved target to get commission","but working in sales department , you must achieved target to get commission",False,False,[]
Negative,management style old school management required multiple layers to apply work access,management style: - old-school management required multiple layers to apply work access.,management style: - old-school management required multiple layers to apply work access.,management style: - old-school management required multiple layers to apply work access.,False,False,[]
Negative,conference call in the morning will pulled your mood,concall in the morning will pulled your mood,concall in the morning will pulled your mood,concall in the morning will pulled your mood,False,False,[]
Negative,if you preferred working like a robot can try this,"if you preffered working like a robot, can try this","if you preffered working like a robot, can try this","if you preffered working like a robot, can try this",False,False,[]
Negative,old working system,old working system.,old working system.,old working system.,False,False,[]
Positive,but still free of mind,but still free of mind,but still free of mind,but still free of mind,False,False,[]
Negative,need also to involve with events and might need to stay very late,need also to involve with events and might need to stay very late.,need also to involve with events and might need to stay very late.,need also to involve with events and might need to stay very late.,False,False,[]
Negative,no commission or very minimal rewards,no commission or very minimal rewards,no commission or very minimal rewards,no commission or very minimal rewards,False,False,[]
Negative,overtime can be claimed but depends on line manager,ot can be claimed but depends on line manager.,ot can be claimed but depends on line manager.,ot can be claimed but depends on line manager.,False,False,[]
Positive,have days block leave every year to get away from work,have 7 days block leave every year to get away from work.,have 7 days block leave every year to get away from work.,have 7 days block leave every year to get away from work.,False,False,[]
Negative,this comes with old system and standard operating procedures as they prefer to reduce cost,this comes with old system and sops as they prefer to reduce cost.,this comes with old system and sops as they prefer to reduce cost.,this comes with old system and sops as they prefer to reduce cost.,False,False,[]
Negative,but need to push for sales, but need to push for sales., but need to push for sales., but need to push for sales.,False,False,[]
Negative,the work is stress and if you can handle then you can work here,the work is stress and if u can handle then you can work here,the work is stress and if u can handle then you can work here,the work is stress and if you can handle then you can work here,False,True,[]
Negative,try other company,try other company,try other company,try other company,False,False,[]
Negative,a lot of paperwork to be done,a lot of paperwork to be done.,a lot of paperwork to be done.,a lot of paperwork to be done.,False,False,[]
Negative,change the commissioning structure without prior notice,chnage the commisioning structure without prior notice.,chnage the commisioning structure without prior notice.,chnage the commisioning structure without prior notice.,False,False,[]
Positive,good colleagues at the branches bad management,"good colleagues at the branches , bad management.","good colleagues at the branches , bad management.","good colleagues at the branches , bad management.",False,False,[]
Negative,no work from home,no wfh.,no wfh.,no wfh.,False,False,[]
Negative,slow increment and promotion,slow increment and promotion.,slow increment and promotion.,slow increment and promotion.,False,False,[]
Positive,having shift rotation,having shift rotation,having shift rotation,having shift rotation,False,False,[]
Positive,fix increment yearly,fix increment yearly,fix increment yearly,fix increment yearly,False,False,[]
Negative,fast paced great opportunity but no career growth,"fast paced, great opportunity but no career growth","fast paced, great opportunity but no career growth","fast paced, great opportunity but no career growth",False,False,[]
Positive,nothing stressful for me,nothing stressful for me.,nothing stressful for me.,nothing stressful for me.,False,False,[]
Positive,always ways for improvement,always ways for improvement.,always ways for improvement.,always ways for improvement.,False,False,[]
Negative,they would claw back of the commission and only give it to you after year,they would claw back 20% of the comm and only give it to u after 1 year.,they would claw back 20% of the comm and only give it to u after 1 year.,they would claw back 20% of the comm and only give it to you after 1 year.,False,True,[]
Negative,everything is about selling,everything is about selling,everything is about selling,everything is about selling,False,False,[]
Positive,maternity leave six months,maternity leave six months.,maternity leave six months.,maternity leave six months.,False,False,[]
Negative,management will be depends on your manager,management will be depends on your manager,management will be depends on your manager,management will be depends on your manager,False,False,[]
Positive,among colleagues okay,"among colleagues ok, ","among colleagues ok, ","among colleagues ok, ",False,False,[]
Negative,however i will say otherwise for my current supervisor,however i will say otherwise for my current supervisor,however i will say otherwise for my current supervisor,however i will say otherwise for my current supervisor,False,False,[]
Positive,working environment can be improved,working environment can be improved.,working environment can be improved.,working environment can be improved.,False,False,[]
Negative,but high volume,but high volume,but high volume,but high volume,False,False,[]
Negative,maybe it just this branch do not have much overtime normally we back at pm,"maybe it's just this branch do not have much ot, normally we back at 6pm.","maybe it's just this branch do not have much ot, normally we back at 6pm.","maybe it is just this branch do not have much ot, normally we back at 6pm.",False,True,[]
Negative,wednesday because every wednesday is a briefing day,wednesday because every wednesday is a briefing day,wednesday because every wednesday is a briefing day,wednesday because every wednesday is a briefing day,False,False,[]
Negative,experience raw adulting,experience raw adulting,experience raw adulting,experience raw adulting,False,False,[]
Negative,banking industry but in retail culture,banking industry but in retail culture,banking industry but in retail culture,banking industry but in retail culture,False,False,[]
Negative,those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run,those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run.,those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run.,those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run.,False,False,[]
Negative,going back at pm is normal pm is the earliest time to go home weekend sometimes need to work also,"going back at 10 pm is normal, 7 pm is the earliest time to go home, weekend sometimes need to work also","going back at 10 pm is normal, 7 pm is the earliest time to go home, weekend sometimes need to work also","going back at 10 pm is normal, 7 pm is the earliest time to go home, weekend sometimes need to work also",False,False,[]
Positive,salary was on par on the position applied,salary was on par on the position applied.,salary was on par on the position applied.,salary was on par on the position applied.,False,False,[]
Positive,prepare monthly reporting tasks and mostly does market research,prepare monthly reporting tasks and mostly does market research.,prepare monthly reporting tasks and mostly does market research.,prepare monthly reporting tasks and mostly does market research.,False,False,[]
Negative,corporate style with multiple hierarchy you get to survive if you have a strong mentality to cope stress,"corporate style with multiple hierarchy, you get to survive if you have a strong mentality to cope stress.","corporate style with multiple hierarchy, you get to survive if you have a strong mentality to cope stress.","corporate style with multiple hierarchy, you get to survive if you have a strong mentality to cope stress.",False,False,[]
Positive,no complaint,no complaint.,no complaint.,no complaint.,False,False,[]
Negative,the month training class might not be enough the notes you can't gather from outside of class,"the 1-month training class might not be enough, the notes you can't gather from outside of class.","the 1-month training class might not be enough, the notes you can't gather from outside of class.","the 1-month training class might not be enough, the notes you cannot gather from outside of class.",False,True,[]
Negative,you have to be âpandai bodekâ boss for better career enhancement,you have to be âpandai bodekâ bos for better career enhancement.,"you have to be ""pandai bodek"" bos for better career enhancement.","you have to be ""pandai bodek"" bos for better career enhancement.",True,False,[]
Negative,doesnt mean next quarter are the same even you achieved key performance indicator,doesnt mean next quarter are the same even u achieved 100% kpi.,doesnt mean next quarter are the same even u achieved 100% kpi.,does not mean next quarter are the same even you achieved 100% kpi.,False,True,[]
Negative,you need to achieved all the monthly target so you can stay respected,you need to achieved all the monthly target so you can stay respected.,you need to achieved all the monthly target so you can stay respected.,you need to achieved all the monthly target so you can stay respected.,False,False,[]
Positive,flexible working hours,flexi working hours.,flexi working hours.,flexi working hours.,False,False,[]
Positive,days of annual leave,24 days of annual leave.,24 days of annual leave.,24 days of annual leave.,False,False,[]
Negative,during bonus and increment cycles staff handling only business as usual tasks often receive higher total compensation than those who take on additional responsibilities,"during bonus and increment cycles, staff handling only bau tasks often receive higher total compensation than those who take on additional responsibilities.","during bonus and increment cycles, staff handling only bau tasks often receive higher total compensation than those who take on additional responsibilities.","during bonus and increment cycles, staff handling only bau tasks often receive higher total compensation than those who take on additional responsibilities.",False,False,[]
Positive,although some of the reviewer said that the employee benefits are below the industry benchmarking but i can see that the management has been working to improve it accordingly,"although, some of the reviewer said that the employee's benefits are below the industry benchmarking, but i can see that the management has been working to improve it accordingly.","although, some of the reviewer said that the employee's benefits are below the industry benchmarking, but i can see that the management has been working to improve it accordingly.","although, some of the reviewer said that the employee's benefits are below the industry benchmarking, but i can see that the management has been working to improve it accordingly.",False,False,[]
Negative,learning environment need cope with the stress of hitting sales target multi tasking is needed,"learning environment , need cope with the stress of hitting sales target, multi-tasking is needed.","learning environment , need cope with the stress of hitting sales target, multi-tasking is needed.","learning environment , need cope with the stress of hitting sales target, multi-tasking is needed.",False,False,[]
Negative,but the salary is a bit low for the fresh grade in order to compare with others banking company,but the salary is a bit low for the fresh grade in order to compare with others banking company,but the salary is a bit low for the fresh grade in order to compare with others banking company,but the salary is a bit low for the fresh grade in order to compare with others banking company,False,False,[]
Negative,they can be crazy to meet up their key performance indicator,they can be crazy to meet up their kpi.,they can be crazy to meet up their kpi.,they can be crazy to meet up their kpi.,False,False,[]
Positive,so much to learn here,so much to learn here.,so much to learn here.,so much to learn here.,False,False,[]
Negative,but slow pace, but slow pace., but slow pace., but slow pace.,False,False,[]
Negative,multitasking and workload,multitasking and workload,multitasking and workload,multitasking and workload,False,False,[]
Negative,but be ready to work long hours as it is the norm here,"but be ready to work long hours, as it is the norm here.","but be ready to work long hours, as it is the norm here.","but be ready to work long hours, as it is the norm here.",False,False,[]
Negative,management is not helping,"management is not helping,","management is not helping,","management is not helping,",False,False,[]
Positive,but colleague all okay and supportive, but colleague all okay and supportive., but colleague all okay and supportive., but colleague all okay and supportive.,False,False,[]
Negative,even top performer is hard to secure a permanent position,even top performer is hard to secure a permanent position.,even top performer is hard to secure a permanent position.,even top performer is hard to secure a permanent position.,False,False,[]
Positive,annual leave a lot,annual leave a lot,annual leave a lot,annual leave a lot,False,False,[]
Negative,this one is supposed to be okay but if you need them and they don't entertain willingly definitely that will let you down,"this one is supposed to be okay, but if you need them and they don't entertain willingly, definitely that will let you down.","this one is supposed to be okay, but if you need them and they don't entertain willingly, definitely that will let you down.","this one is supposed to be okay, but if you need them and they do not entertain willingly, definitely that will let you down.",False,True,[]
Negative,sometimes they just recycle the leads to call the same customer,sometimes they just recycle the leads to call the same customer.,sometimes they just recycle the leads to call the same customer.,sometimes they just recycle the leads to call the same customer.,False,False,[]
Positive,cross functional collaboration while encouraged it may face occasional resistance due to siloed structures,"cross-functional collaboration: while encouraged, it may face occasional resistance due to siloed structures.","cross-functional collaboration: while encouraged, it may face occasional resistance due to siloed structures.","cross-functional collaboration: while encouraged, it may face occasional resistance due to siloed structures.",False,False,[]
Negative,however incentives are not transparent,"however, incentives are not transparent.","however, incentives are not transparent.","however, incentives are not transparent.",False,False,[]
Positive,just that work will be stressful but manageable with good working colleagues,just that work will be stressful but manageable with good working colleagues.,just that work will be stressful but manageable with good working colleagues.,just that work will be stressful but manageable with good working colleagues.,False,False,[]
Positive,workload is manageable although at times it can be quite heavy,"workload is manageable, although at times it can be quite heavy.","workload is manageable, although at times it can be quite heavy.","workload is manageable, although at times it can be quite heavy.",False,False,[]
Negative,i learnt a lot during my time in bankname however the key performance indicator target just keep getting higher and you need to work harder to achieve the key performance indicator,"i learnt a lot during my time in cimb, however the kpi target just keep getting higher and you need to work harder to achieve the kpi.","i learnt a lot during my time in cimb, however the kpi target just keep getting higher and you need to work harder to achieve the kpi.","i learnt a lot during my time in cimb, however the kpi target just keep getting higher and you need to work harder to achieve the kpi.",False,False,[]
Positive,management don't come to you and shouting for target,management don't come to you and shouting for target.,management don't come to you and shouting for target.,management do not come to you and shouting for target.,False,True,[]
Negative,but for the target that we need to carry together with incentive scheme need to revise,but for the target that we need to carry tgter with incentive scheme need to revise,but for the target that we need to carry tgter with incentive scheme need to revise,but for the target that we need to carry tgter with incentive scheme need to revise,False,False,[]
Positive,overall is okay,overall is okay,overall is okay,overall is okay,False,False,[]
Negative,no overtime given but they ask you to do overtime,no ot given but they ask you to do ot.,no ot given but they ask you to do ot.,no ot given but they ask you to do ot.,False,False,[]
Negative,as a fresh grad i thought would capable to learn something,"as a fresh grad i thought would capable to learn something , ","as a fresh grad i thought would capable to learn something , ","as a fresh grad i thought would capable to learn something , ",False,False,[]
Negative,will be more compliance compare to other banks management keeps chasing the target,will be more compliance compare to other banks management keeps chasing the target,will be more compliance compare to other banks management keeps chasing the target,will be more compliance compare to other banks management keeps chasing the target,False,False,[]
Positive,bonus can be down to months but usually is months,bonus can be down to 2 months but usually is 3 months.,bonus can be down to 2 months but usually is 3 months.,bonus can be down to 2 months but usually is 3 months.,False,False,[]
Negative,no one help when things happened,no one hlp when things happened,no one hlp when things happened,no one hlp when things happened,False,False,[]
Negative,no clear goal setup by my immediate manager,no clear goal setup by my immediate manager.,no clear goal setup by my immediate manager.,no clear goal setup by my immediate manager.,False,False,[]
Negative,please digitalize the processes in credit as the bank is outdated in this expect please look at other competitors,"please digitalize the processes in credit as the bank is outdated in this expect, please look at other competitors.","please digitalize the processes in credit as the bank is outdated in this expect, please look at other competitors.","please digitalize the processes in credit as the bank is outdated in this expect, please look at other competitors.",False,False,[]
Negative,a typical day was fast paced handling high volumes of customer issues with tight performance targets,"a typical day was fast-paced, handling high volumes of customer issues with tight performance targets.","a typical day was fast-paced, handling high volumes of customer issues with tight performance targets.","a typical day was fast-paced, handling high volumes of customer issues with tight performance targets.",False,False,[]
Positive,free hospitalisation,free hospitalisation.,free hospitalisation.,free hospitalisation.,False,False,[]
Positive,the environment was okay,the environment was okay.,the environment was okay.,the environment was okay.,False,False,[]
Positive,i then focus on my core responsibilities handling assigned tasks resolving issues and supporting ongoing projects,"i then focus on my core responsibilities handling assigned tasks, resolving issues, and supporting ongoing projects.","i then focus on my core responsibilities handling assigned tasks, resolving issues, and supporting ongoing projects.","i then focus on my core responsibilities handling assigned tasks, resolving issues, and supporting ongoing projects.",False,False,[]
Positive,they'll teach you the basics provided training and little knowledge,"they'll teach you the basics, provided training and little knowledge.","they'll teach you the basics, provided training and little knowledge.","they will teach you the basics, provided training and little knowledge.",False,True,[]
Negative,turn based style promotions,turn based style promotions.,turn based style promotions.,turn based style promotions.,False,False,[]
Negative,daily job may be repetitive depends on the team you are on,'- daily job may be repetitive (depends on the team you are on),'- daily job may be repetitive (depends on the team you are on),'- daily job may be repetitive (depends on the team you are on),False,False,[]
Negative,challenging in the sense of multitasking and sales targets to meet,challenging in the sense of multitasking and sales targets to meet.,challenging in the sense of multitasking and sales targets to meet.,challenging in the sense of multitasking and sales targets to meet.,False,False,[]
Negative,very chinese man and traditional way of approaching work,very chinese man and traditional way of approaching work.,very chinese man and traditional way of approaching work.,very chinese man and traditional way of approaching work.,False,False,[]
Positive,because they are paying commission if you hit the monthly target,because they are paying commission if you hit the monthly target.,because they are paying commission if you hit the monthly target.,because they are paying commission if you hit the monthly target.,False,False,[]
Negative,had to self learn everything,had to self-learn everything.,had to self-learn everything.,had to self-learn everything.,False,False,[]
Positive,a lot things can discover,alot things can discover.,alot things can discover.,alot things can discover.,False,False,[]
Negative,have to do multitasking task work long hours sometimes to work over the weekend,"have to do multitasking task , work long hours sometimes to work over the weekend.","have to do multitasking task , work long hours sometimes to work over the weekend.","have to do multitasking task , work long hours sometimes to work over the weekend.",False,False,[]
Positive,have annual leave every month,have al every month.,have al every month.,have al every month.,False,False,[]
Negative,remuneration not as expectation,remuneration not as expectation,remuneration not as expectation,remuneration not as expectation,False,False,[]
Negative,no much time to have a talk with colleague due to call queue most of the time,no much time to have a talk with colleague due to call que most of the time.,no much time to have a talk with colleague due to call que most of the time.,no much time to have a talk with colleague due to call que most of the time.,False,False,[]
Positive,but if you want to go for a reasonable and just normal job free of mind can go to here,but if you want to go for a reasonable and just normal job free of mind can go to here,but if you want to go for a reasonable and just normal job free of mind can go to here,but if you want to go for a reasonable and just normal job free of mind can go to here,False,False,[]
Positive,overall okay,overall ok,overall ok,overall ok,False,False,[]
Positive,can choose work from home which day in a week,can choose wfh which day in a week.,can choose wfh which day in a week.,can choose wfh which day in a week.,False,False,[]
Negative,while there are some positives such as a supportive team and a convenient location the overall experience has been marred by significant shortcomings,"while there are some positives, such as a supportive team and a convenient location, the overall experience has been marred by significant shortcomings.","while there are some positives, such as a supportive team and a convenient location, the overall experience has been marred by significant shortcomings.","while there are some positives, such as a supportive team and a convenient location, the overall experience has been marred by significant shortcomings.",False,False,[]
Positive,salary is reasonable,salary is reasonable,salary is reasonable,salary is reasonable,False,False,[]
Negative,but now they dont even care,but now they dont even care,but now they dont even care,but now they do not even care,False,True,[]
Negative,okay but not much career growth,"ok, but not much career growth.","ok, but not much career growth.","ok, but not much career growth.",False,False,[]
Positive,overall not bad,overall not bad.,overall not bad.,overall not bad.,False,False,[]
Positive,not bad environment,not bad environment,not bad environment,not bad environment,False,False,[]
Positive,but an opportunity to also learn about banking systems and its standard operating procedures,but an opportunity to also learn about banking systems and its sops?,but an opportunity to also learn about banking systems and its sops?,but an opportunity to also learn about banking systems and its sops?,False,False,[]
Negative,my mentor even asked me to cancel my annual leaves to complete my workloads and my mentor asked me to complete my workloads during my annual leaves weekends and public holiday despite unrealistic goals set by the boss and the team,"my mentor even asked me to cancel my annual leaves to complete my workloads, and my mentor asked me to complete my workloads during my annual leaves, weekends and public holiday despite unrealistic goals set by the boss and the team.","my mentor even asked me to cancel my annual leaves to complete my workloads, and my mentor asked me to complete my workloads during my annual leaves, weekends and public holiday despite unrealistic goals set by the boss and the team.","my mentor even asked me to cancel my annual leaves to complete my workloads, and my mentor asked me to complete my workloads during my annual leaves, weekends and public holiday despite unrealistic goals set by the boss and the team.",False,False,[]
Negative,the quiet ones but really great working attitude tends to be left out n teased upon,the quiet ones but really great working attitude tends to be left out n teased upon.,the quiet ones but really great working attitude tends to be left out n teased upon.,the quiet ones but really great working attitude tends to be left out n teased upon.,False,False,[]
Positive,not bad,not bad,not bad,not bad,False,False,[]
Negative,normal working hours but need to work weekends with no overtime pay at all,normal working hours but beed to work weekends with no overtime pay at all.,normal working hours but beed to work weekends with no overtime pay at all.,normal working hours but beed to work weekends with no overtime pay at all.,False,False,[]
Negative,all depend on your luck,", all depend on your luck.",", all depend on your luck.",", all depend on your luck.",False,False,[]
Negative,but old system,but old system,but old system,but old system,False,False,[]
Negative,moderate work load not so much benefit,"moderate work load, not so much benefit , ","moderate work load, not so much benefit , ","moderate work load, not so much benefit , ",False,False,[]
Positive,provide a lot of training to new joiner,provide a lot of training to new joiner.,provide a lot of training to new joiner.,provide a lot of training to new joiner.,False,False,[]
Negative,don't expect overtime claim,don't expect ot claim.,don't expect ot claim.,do not expect ot claim.,False,True,[]
