AI_Label,Final_Label,AI_Confidence,Review_Status,sentence_text
Positive,2,0.499759793,Manual Review,banking industry but in retail culture
Negative,Negative,0.500315428,Manual Review,those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run.
Positive,2,0.500346303,Manual Review,"Going back at 10 pm is normal, 7 pm is the earliest time to go home, weekend sometimes need to work also"
Positive,Positive,0.500550389,Manual Review,Salary was on par on the position applied.
Positive,Positive,0.50107193,Manual Review,prepare monthly reporting tasks and mostly does market research.
Positive,3,0.501571834,Manual Review,Fast paced but try to connect with competent seniors/colleagues
Positive,2,0.501855254,Manual Review,"Corporate style with multiple hierarchy, you get to survive if you have a strong mentality to cope stress."
Positive,Positive,0.502080858,Manual Review,No complaint.
Positive,3,0.502282262,Manual Review,depends on your luck if you team is positive or toxic.
Positive,3,0.502800882,Manual Review,Culture depend on managers.
Negative,Negative,0.502821982,Manual Review,"The 1-month training class might not be enough, the notes you can't gather from outside of class."
Positive,2,0.503491342,Manual Review,You have to be âpandai bodekâ bos for better career enhancement.
Negative,Negative,0.504822433,Manual Review,Doesnt mean next quarter are the same even u achieved 100% kpi.
Positive,2,0.505292535,Manual Review,You need to achieved all the monthly target so you can stay respected.
Positive,Positive,0.507427037,Manual Review,Flexi working hours.
Positive,Positive,0.507826269,Manual Review,24 days of annual leave.
Positive,2,0.508134663,Manual Review,"During bonus and increment cycles, staff handling only BAU tasks often receive higher total compensation than those who take on additional responsibilities."
Negative,1,0.508267939,Manual Review,"Although, some of the reviewer said that the employee's benefits are below the industry benchmarking, but I can see that the Management has been working to improve it accordingly."
Negative,Negative,0.508312583,Manual Review,"Learning environment , need cope with the stress of hitting sales target, multi-tasking is needed."
Negative,Negative,0.50851053,Manual Review,But the salary is a bit low for the fresh grade in order to compare with others banking company
Negative,Negative,0.509227514,Manual Review,they can be crazy to meet up their kpi.
Positive,Positive,0.50926882,Manual Review,So much to learn here.
Positive,3,0.509693325,Manual Review,The environment is depends on your team leader and colleagues.
Negative,Negative,0.509943306,Manual Review, but slow pace.
Negative,Negative,0.510838687,Manual Review,Multitasking and workload
Positive,2,0.511385858,Manual Review,"But be ready to work long hours, as it is the norm here."
Positive,2,0.511572957,Manual Review,"management is not helping,"
,1,,, but colleague all okay and supportive.
Positive,3,0.511968195,Manual Review,"as we all grew older, the first impression of ourselves is important when dealing with our client."
Negative,Negative,0.513669133,Manual Review,Even top performer is hard to secure a permanent position.
Positive,Positive,0.513786077,Manual Review,Annual leave a lot
Neutral,2,0.515184641,Manual Review,"This one is supposed to be okay, but if you need them and they don't entertain willingly, definitely that will let you down."
Negative,Negative,0.515201092,Manual Review,Sometimes they just recycle the leads to call the same customer.
Positive,Positive,0.517719626,Manual Review,"Cross-Functional Collaboration: While encouraged, it may face occasional resistance due to siloed structures."
Negative,Negative,0.517879605,Manual Review,"However, incentives are not transparent."
Positive,3,0.518240273,Manual Review,You try to focus on the necessary topic first.
Positive,3,0.518384874,Manual Review,"On my average day of work, I start the day off by checking my emails."
Positive,Positive,0.520560324,Manual Review,Just that work will be stressful but manageable with good working colleagues.
Positive,Positive,0.521432459,Manual Review,"Workload is manageable, although at times it can be quite heavy."
Positive,3,0.521602631,Manual Review,Surrounded by senior managers.
Positive,3,0.52274096,Manual Review,the working enviroment depends on the department.
Neutral,Neutral,0.522876024,Manual Review,So far No
Positive,2,0.523312569,Manual Review,"I learnt a lot during my time in CIMB, however the KPI target just keep getting higher and you need to work harder to achieve the KPI."
Negative,1,0.523995459,Manual Review,Management don't come to you and shouting for target.
Negative,Negative,0.524570286,Manual Review,But for the target that we need to carry tgter with incentive scheme need to revise
Negative,3,0.525199056,Manual Review,Need to adopt quickly in working
Positive,Positive,0.525598586,Manual Review,Overall is okay
Negative,Negative,0.529164851,Manual Review,No OT given but they ask you to do OT.
Positive,3,0.529213488,Manual Review,Learn how to negotiate different type of customer.
Positive,2,0.529435039,Manual Review,"As a fresh grad I thought would capable to learn something , "
Positive,3,0.529975533,Manual Review,"The compliance review team was responsible for numerous annual, bi-annual, thematic and ad-hoc reviews."
Negative,3,0.532565773,Manual Review,Learn how to manage stress if working in banking industry.
Positive,2,0.532614708,Manual Review,Will be more compliance compare to other banks Management keeps chasing the target
Positive,Positive,0.532992959,Manual Review,Bonus can be down to 2 months But usually is 3 months.
Positive,3,0.53350538,Manual Review,They offered a contract position.
Positive,3,0.533852696,Manual Review,You just need to refer.
Negative,Negative,0.534473777,Manual Review,no one hlp when things happened
Positive,3,0.534569085,Manual Review,Fast pace environment.
Negative,3,0.535164297,Manual Review,"If you are looking for career progression, youâll need to serve the time and slowly work your way up."
Positive,3,0.535402656,Manual Review,"You need to have communication skills including negotiation, patience, and listening skills to assist the customers with their inquiries outstandingly."
Negative,Negative,0.535985947,Manual Review,No clear goal setup by my immediate manager.
Negative,3,0.536227047,Manual Review,The working culture is very structured and hierarchy.
Negative,Negative,0.537983358,Manual Review,"Please digitalize the processes in credit as the bank is outdated in this expect, please look at other competitors."
Positive,3,0.53812772,Manual Review,"It depends on the manager, some require the staffs to work from office."
Positive,2,0.538987875,Manual Review,"A typical day was fast-paced, handling high volumes of customer issues with tight performance targets."
Positive,3,0.539354146,Manual Review,informative yet surface level exposure towards nature of business
Positive,Positive,0.540398777,Manual Review,Free hospitalisation.
Positive,Positive,0.540849388,Manual Review,The environment was okay.
Positive,1,0.540951669,Manual Review,"I then focus on my core responsibilities handling assigned tasks, resolving issues, and supporting ongoing projects."
Positive,Positive,0.541717887,Manual Review,"They'll teach you the basics, provided training and little knowledge."
Positive,3,0.541998386,Manual Review,"I am currently working there as a Management Trainee, "
Positive,2,0.542824686,Manual Review,Turn based style promotions.
Negative,Negative,0.543879271,Manual Review,'- Daily job may be repetitive (depends on the team you are on)
Positive,3,0.544339657,Manual Review,WLB depends on your department
Neutral,Neutral,0.545763135,Manual Review,Work environment is okay but still you had to blend in well.
Positive,3,0.545845509,Manual Review,Everyone will fell the same as you.
Negative,Negative,0.546176732,Manual Review,Challenging in the sense of multitasking and sales targets to meet.
Negative,3,0.547265828,Manual Review,As a first job for fresh graduates with no solid ideas & knowledge on the procedure.
Positive,2,0.548170626,Manual Review,Very Chinese man and traditional way of approaching work.
Positive,Positive,0.548916638,Manual Review,Because they are paying commission if you hit the monthly target.
Negative,Negative,0.551097453,Manual Review,Had to self-learn everything.
Positive,3,0.551522255,Manual Review,"Once you hit the floor, you only can refer to their Infohub system or your simplified notes."
Positive,Positive,0.551867545,Manual Review,alot things can discover.
Negative,Negative,0.552654922,Manual Review,"have to do multitasking task , work long hours sometimes to work over the weekend."
Positive,Positive,0.552877665,Manual Review,Have AL every month.
Negative,Negative,0.552903593,Manual Review,Remuneration not as expectation
Negative,Negative,0.553114951,Manual Review,No much time to have a talk with colleague due to call que most of the time.
Positive,Positive,0.553139567,Manual Review,But if you want to go for a reasonable and just normal job free of mind can go to here
Positive,Positive,0.554309011,Manual Review,Overall ok
Positive,3,0.554855227,Manual Review,Systems are numerous.
Positive,3,0.554941773,Manual Review,Getting used to its interface.
Positive,Positive,0.554997385,Manual Review,Can choose wfh which day in a week.
Negative,Negative,0.556956291,Manual Review,"While there are some positives, such as a supportive team and a convenient location, the overall experience has been marred by significant shortcomings."
Neutral,Neutral,0.556986272,Manual Review,Salary is quite ok but not too fancy.
Positive,Positive,0.557014465,Manual Review,Salary is reasonable
Positive,3,0.557904601,Manual Review,"But, as recommended by OICs/seniors, try to multitask by submitting the SR while talking with customers."
Positive,3,0.558045566,Manual Review,The every single day work is basically the have same routine.
Positive,3,0.558182597,Manual Review,Depending on which team you are in.
Negative,Negative,0.558684528,Manual Review,but now they dont even care
Neutral,2,0.558756053,Manual Review,"OK, but not much career growth."
Positive,Positive,0.559149742,Manual Review,Overall not bad.
Positive,3,0.559161663,Manual Review,Banking industries and product details.
Positive,3,0.559773326,Manual Review,For career growth depends on department and bosses.
Positive,3,0.560907185,Manual Review,Im involved in HP.
Positive,Positive,0.560953856,Manual Review,Not bad environment
Positive,Positive,0.561742961,Manual Review,BUT an opportunity to also learn about banking systems and its SOPs?
Negative,Negative,0.562008023,Manual Review,"My mentor even asked me to cancel my annual leaves to complete my workloads, and my mentor asked me to complete my workloads during my annual leaves, weekends and public holiday despite unrealistic goals set by the boss and the team."
Positive,3,0.562587619,Manual Review,2k salary for protege.
Negative,Negative,0.563919127,Manual Review,The quiet ones but really great working attitude tends to be left out n teased upon.
Positive,Positive,0.563936174,Manual Review,Not bad
Positive,3,0.56428808,Manual Review,Moderate workload (depends on the team you are on)
Negative,Negative,0.5643574,Manual Review,Normal working hours but beed to work weekends with no overtime pay at all.
Negative,Negative,0.564721465,Manual Review,", all depend on your luck."
Negative,Negative,0.564802349,Manual Review,But old system
Negative,Negative,0.56531018,Manual Review,"Moderate work load, not So much benefit , "
Positive,Positive,0.565728068,Manual Review,Provide a lot of training to new joiner.
Negative,Negative,0.56706804,Manual Review,Don't expect ot claim.
Positive,3,0.569617152,Manual Review,The work environment in the department varies from all function.
Positive,3,0.569648325,Manual Review,"Just assist, advise, and resolve."
Positive,Positive,0.569992423,Manual Review,"Pay commission quarterly, if u got certain amount on this quarter."
Positive,3,0.570433557,Manual Review,"Once you get the hang of it, things might be easier but always watch out for your target (KPI)"
Negative,Negative,0.574153125,Manual Review,"Old working system, old office."
Positive,2,0.576310575,Manual Review,Superiors claim credit for your work
Positive,Positive,0.577024281,Manual Review,I worked here before and the work load is quite ok and bearable.
Negative,Negative,0.57707876,Manual Review,"First of all, the position is quite hardcore."
Neutral,Neutral,0.577436626,Manual Review,Salary is low compare to other banking industry but still okay
Negative,Negative,0.577678978,Manual Review,Uncertain commission
Negative,Negative,0.577893198,Manual Review,"My teammate are amazing, but the manager I am under eventually started micromanaging."
Positive,Positive,0.578142107,Manual Review,Hybrid working.
Positive,Positive,0.578597426,Manual Review,Benefit overall ok.
Negative,Negative,0.579135418,Manual Review,Prospective employees should carefully weigh these factors before considering employment here..
Neutral,Neutral,0.579884231,Manual Review,Moderate level of work and life balance.
Positive,Positive,0.580387175,Manual Review,Fun work environment but challenging
Positive,2,0.580391407,Manual Review,No option for you to reject.
Positive,Positive,0.581000805,Manual Review,Learn a lot from the seniors & no politics in the office as well.
Positive,2,0.581395805,Manual Review,You can choose to claim OT as well at the end of the shift to submit the SR but extra works that you have to get validation from your OICs or TM.
Positive,3,0.581962049,Manual Review,"People mindset, processes, legacy systems, pay and promotion"
Negative,Negative,0.582111239,Manual Review,Progression Limited
Positive,Positive,0.583108485,Manual Review,The environment is not bad.
Positive,3,0.584034145,Manual Review,Focus on offline events and activities to drive business.
Negative,1,0.584190071,Manual Review,Salary is high for fresh graduate but with high salary comes with high risk as well
Positive,Positive,0.584918559,Manual Review,Clear object
Negative,Negative,0.585254371,Manual Review,"Whenever I had a problem in my works, they asked me to solve it myself."
Positive,3,0.585807025,Manual Review,Fast paced and have to be independent
Positive,Positive,0.589496255,Manual Review,harmony workplace
Positive,3,0.589794278,Manual Review,The week before any celebrations can be busy .
Negative,Negative,0.589861214,Manual Review,Learn to work independently.
Positive,2,0.590056956,Manual Review,No OT and working in every public holiday since working as sales consultant
Negative,Negative,0.590886652,Manual Review,"Workplace culture, lots of overseas worker than local and overtime almost everyday."
Positive,Positive,0.590916753,Manual Review,They call u right after seeing ur resume
Neutral,2,0.592203736,Manual Review,Commisions are ok but lower than other banks.
Positive,2,0.593003213,Manual Review,The working pace in a banking sector is vibrant and demanding hence there are rigorous regulatory reportings have to be made.
Positive,3,0.593753099,Manual Review,From HR to all other department.
Positive,Positive,0.593887389,Manual Review,"Does offer hybrid working style, imcludes activities like townhall, learning week, team building, and upskilling depending on the department."
Positive,Positive,0.594095707,Manual Review,"Ok lah, so far so good lol Canât say too hard also canât say easily All overall is medium only,"
Negative,Negative,0.5947873,Manual Review,Office is old.
Negative,Negative,0.59484601,Manual Review,"No benefits, 8 months contract with total of 16 annual leave."
Negative,Negative,0.595548153,Manual Review,"The management is on another whole different level, they tend to stick with the paper based era whereas people are going towards technologies."
,2,,,donât put too high expectations on banking line industry
Positive,3,0.596429825,Manual Review,Just follow the flow setup by your manager.
Negative,Negative,0.596602857,Manual Review,Slow operating system.
Positive,3,0.598009646,Manual Review,Busy but manageable.
Positive,Positive,0.598877192,Manual Review,Workload OK depending on the team and bosses.
Positive,2,0.599376202,Manual Review,dont mind if u being diaturb at weekend especially hire purchase dept.
Neutral,Neutral,0.600849509,Manual Review,Overall ok but need to be patients handling customer.
Positive,Positive,0.60105139,Manual Review,"There were a lot of event being held at Menara Maybank for the seasonal events, such as Chinese New Year and Christmas."
Positive,2,0.601873994,Manual Review,"Favoritism from both leadership and HRBP influences career growth, resulting in the same individuals receiving promotions every 2â3 years, while others are overlooked."
Positive,3,0.605230451,Manual Review, A typical day for me usually starts with reviewing priorities and any urgent items from emails or system alerts.
Negative,Negative,0.606429935,Manual Review,Need to relief ppl a lot if u are from branch.
Positive,Positive,0.607170701,Manual Review,There are fixed two months annual bonus and at least one month performance bonus.
Positive,3,0.608043492,Manual Review,Need to be pro in multi tasking as need to handle multi systems. Need to be highly motivated and prepare multiple report in advance by guessing the report may request by management.
Negative,Negative,0.609041631,Manual Review,"Sales could be challenging here, as the products are not really competitive."
Negative,Negative,0.609714448,Manual Review,but do not become protege or join programme
Positive,2,0.611110151,Manual Review,"Also, please give ample time to catch up and get used to the systems even though OIC might not assist you many times."
Positive,Positive,0.612047672,Manual Review,I miss my teamates so much.
Negative,Negative,0.612315297,Manual Review,"OICs might be helping you but they will expect you to work independently, and catch up so fast."
Positive,Positive,0.612418234,Manual Review,Everyday supply of snacks in the pantry.
Positive,Positive,0.612580657,Manual Review,Enjoyable
Positive,3,0.612930655,Manual Review,It depands on the team you in.
Positive,2,0.614740908,Manual Review,It was a busy 
Negative,Negative,0.614836991,Manual Review,Expect long working hours.
Positive,Positive,0.614855051,Manual Review,Stability is there just that need to work hard and sometimes luck.
Positive,Positive,0.61494559,Manual Review,My internship experience was okay overall.
Positive,2,0.615115821,Manual Review,You are expected to go beyond ur KPI.
Positive,2,0.615749419,Manual Review,Management practice favouritism
Positive,Positive,0.61596483,Manual Review,EPF benefits.
Negative,Negative,0.616236806,Manual Review,"Sometimes, they might get irritated when you ask twice because they think they already explained thousands of times."
Negative,3,0.618428886,Manual Review,You need to stand on your two feet and learn as you go.
Negative,Negative,0.619269073,Manual Review,but low pay basic salary
Negative,Negative,0.620172858,Manual Review,Always overtime
Negative,Negative,0.621061862,Manual Review,Need to do a lot of OT but intern/trainee did not get paid OT.
Positive,2,0.621734083,Manual Review,tracker in place to track everyoneâs task.
Positive,2,0.621988714,Manual Review,They take their time to answer my question.
Negative,Negative,0.622930169,Manual Review,Need to achieve a high kpi with changing directions from upper management.
Positive,Positive,0.623714626,Manual Review,It's the largest bank in malaysia.
Positive,2,0.624162316,Manual Review,Expect one hour talk to persuade you work hard.
Positive,3,0.624291301,Manual Review,Classic management style
Negative,Negative,0.62565881,Manual Review,Pushes us to the limit but suddenly change the comissioning structure
Positive,Positive,0.627319396,Manual Review,Can learn something
Positive,Positive,0.630115271,Manual Review,Benefits: - Basic salary meets the market range.
Negative,Negative,0.631433547,Manual Review,"Company got a lot of profit every year, must increase salary & also the cost living there very high."
Positive,Positive,0.63148737,Manual Review,Freestyle working environment.
Negative,Negative,0.632092893,Manual Review,"in term of management, they want feedback but doesnt improve ."
Positive,3,0.632319272,Manual Review,Ask your trainer the most common inquiries about EACH topic.
Negative,Negative,0.632765114,Manual Review,None pros factor
Positive,Positive,0.633208811,Manual Review,"While it is a stable organization, "
Positive,3,0.634144008,Manual Review,"For personal growth, it would help if staff are encouraged to practice discipline and self-development."
Positive,Positive,0.634627759,Manual Review,You will learn how to manage your time management skills.
Positive,Positive,0.635380626,Manual Review,No OT Overall not bad
Positive,Positive,0.636773944,Manual Review,Overall good.
Positive,3,0.638905704,Manual Review,"However, increment, year-end bonus and performance bonus are based on your job performance and supervisor."
Positive,Positive,0.639270067,Manual Review,Summary Overall quite good
Negative,Negative,0.639611721,Manual Review,sales target is too high and management will push you to hit every month.
Negative,Negative,0.639924407,Manual Review,Require staffs to stay back but wont pay for overtime
Negative,Negative,0.640912414,Manual Review,Traditional & change-averse company
Positive,2,0.641064227,Manual Review,You have to give full commitment to this organisation even in weekend especially when you are involve in marketing scope.
Negative,Negative,0.641187847,Manual Review, although there will be some bad apples (which can be found in any company tbh)
Positive,3,0.643424571,Manual Review,Customers are generally normal and sane.
Negative,Negative,0.644677758,Manual Review,Comprehensive benefits with concerns over operational balance and promotion fairness
Negative,Negative,0.64528656,Manual Review,stress if there is any accidental mistake that we didn't notice and need to re do whole thing.
Negative,Negative,0.646713495,Manual Review,"In the spend of 6 months, the company had change its guidelines 4 times which effect the sales department heavily."
Positive,3,0.64738214,Manual Review,Structured and Hierarchy
Negative,Negative,0.64764601,Manual Review,High expectation and workload
Positive,Positive,0.647687256,Manual Review,You will think a lot of time if you want to resign because of the benefits
Positive,Positive,0.64772433,Manual Review,"Fun and good, environment is OK."
Negative,Negative,0.647819102,Manual Review,Not many clients will prefer rhb.
Positive,Positive,0.648965955,Manual Review,It was good.
Negative,Negative,0.649407983,Manual Review,low increament
Negative,Negative,0.649652004,Manual Review,"Systems are fine except I only encounter difficulties with R*W**, it needs to be redesigned to a friendlier interface at least for those agents."
Positive,3,0.649695814,Manual Review,A typical day for me usually starts with reviewing priorities and any urgent items from emails or system alerts.
Positive,3,0.650476396,Manual Review,Banking Culture
Positive,Positive,0.653012097,Manual Review,Monetary benefits is fine 
Negative,Negative,0.653739452,Manual Review,Need to stay back without paying OT.
Positive,Positive,0.655092776,Manual Review, flexible and relax environment 
Positive,Positive,0.655297339,Manual Review,Opportunity to learn a lot however i was hired as a outsourcing staff.
Positive,Positive,0.655835688,Manual Review,The commission given is quite higher than another bank.
Positive,3,0.657161176,Manual Review,The people
Positive,Positive,0.657580674,Manual Review,Have graduate and certification if pass the exam and roleplay
Positive,3,0.658383727,Manual Review,Learn to find ways in achievement.
